name,description,price,start_date,end_date,max_guests,is_valid
"Golf & Relaxation Retreat","Combine golf with luxury spa treatments",499.99,2024-09-20,2024-09-27,2,1
"Island Scuba Diving","Explore underwater reefs with guided scuba diving",1099.99,2024-07-20,2024-07-27,4,1
"Alpine Hiking Adventure","Trek through the beautiful Alpine mountain range",449.99,2024-06-10,2024-06-20,3,1
"Jungle Expedition","Venture deep into the jungle with experienced guides",749.99,2024-03-05,2024-03-15,6,1
"Desert Star Gazing","Experience breathtaking views of the stars in the desert",299.99,2024-04-10,2024-04-15,3,1
"European Cultural Journey","Immerse in the art, music, and history of Europe",849.99,2024-05-01,2024-05-15,5,1
"Vineyard Retreat","Relax in a countryside vineyard with local wine tastings",599.99,2024-08-01,2024-08-07,2,1
"Tropical Wildlife Expedition","Discover unique wildlife in tropical rainforests",949.99,2024-07-05,2024-07-12,3,1
"Coastal Sailing Adventure","Sail along the scenic coast with expert sailors",749.99,2024-09-25,2024-10-02,6,1
"Historical Castle Tour","Visit iconic castles across Europe",499.99,2024-04-15,2024-04-22,5,1
